brand,model,year,fuel_type,transmission,owner_type,km_driven,seller_type,mileage,engine,seats,price,car_age,km_per_year,engine_per_seat
Hyundai,I20,2022,Petrol,Automatic,First Owner,4000.0,Dealer,18.6,1197,5,890000.0,4,1000.0,239.4
Maruti,Wagon R,2018,Petrol,Manual,Second Owner,42247.0,Dealer,21.5,998,5,392000.0,8,5280.88,199.6
Honda,Jazz,2018,Diesel,Manual,Second Owner,100000.0,Dealer,19.0,1498,5,800000.0,8,12500.0,299.6
Maruti,Swift,2019,Diesel,Manual,Second Owner,69000.0,Dealer,21.2,1498,5,775000.0,7,9857.14,299.6
Tata,Nexon,2021,Petrol,Manual,Second Owner,10422.0,Dealer,17.0,1199,5,1152000.0,5,2084.4,239.8
Audi,Q3,2014,Diesel,Automatic,Third Owner,52000.0,Dealer,14.5,1984,5,1675000.0,12,4333.33,396.8
Maruti,Ciaz,2019,Petrol,Automatic,Second Owner,56255.0,Dealer,20.7,1373,5,850000.0,7,8036.43,274.6
Hyundai,Santro,2021,Cng,Manual,Second Owner,78260.0,Dealer,18.3,1197,5,593000.0,5,15652.0,239.4
Maruti,Alto 800,2021,Cng,Manual,Second Owner,19970.0,Dealer,22.7,796,5,415000.0,5,3994.0,159.2
MG,Hector,2020,Petrol,Automatic,Second Owner,9070.0,Dealer,18.0,1200,5,1850000.0,6,1511.67,240.0
Ford,Figo,2013,Petrol,Manual,Fourth & Above Owner,73000.0,Dealer,16.0,1497,5,240000.0,13,5615.38,299.4
Audi,Q3,2015,Diesel,Automatic,Third Owner,46336.0,Dealer,14.5,1984,5,1199000.0,11,4212.36,396.8
Hyundai,Creta,2016,Petrol,Manual,Third Owner,57220.0,Dealer,16.8,1497,5,895000.0,10,5722.0,299.4
Honda,Jazz,2021,Petrol,Manual,Second Owner,7096.0,Dealer,18.7,1199,5,968000.0,5,1419.2,239.8
Mercedes-Benz,EQC,2020,Electric,Automatic,Second Owner,21500.0,Dealer,0.0,0,5,8100000.0,6,3583.33,0.0
Hyundai,Grand I10,2015,Petrol,Manual,Third Owner,44045.0,Dealer,18.9,1197,5,493000.0,11,4004.09,239.4
BMW,X1,2013,Diesel,Manual,Fourth & Above Owner,70000.0,Dealer,19.0,1498,5,1050000.0,13,5384.62,299.6
Maruti,Swift,2018,Diesel,Manual,Second Owner,32853.0,Dealer,21.2,1498,5,785000.0,8,4106.62,299.6
BMW,5 Series,2017,Diesel,Manual,Third Owner,26781.0,Dealer,15.6,1995,5,3899000.0,9,2975.67,399.0
Skoda,Superb,2021,Petrol,Automatic,Second Owner,45700.0,Dealer,15.6,1498,5,3100000.0,5,9140.0,299.6
Maruti,Swift,2014,Petrol,Manual,Third Owner,62000.0,Dealer,21.2,1197,5,485000.0,12,5166.67,239.4
Maruti,Wagon R,2017,Cng,Manual,Third Owner,73500.0,Dealer,21.5,998,5,435000.0,9,8166.67,199.6
Maruti,Wagon R,2017,Cng,Manual,Third Owner,74076.0,Dealer,21.5,998,5,451000.0,9,8230.67,199.6
Tata,Tiago,2018,Petrol,Manual,Second Owner,56355.0,Dealer,17.0,1199,5,545000.0,8,7044.38,239.8
Tata,Tiago,2017,Petrol,Manual,Third Owner,37000.0,Dealer,17.0,1199,5,450000.0,9,4111.11,239.8
Maruti,Wagon R,2021,Cng,Manual,Second Owner,22158.0,Dealer,21.5,998,5,681000.0,5,4431.6,199.6
Hyundai,Xcent,2014,Petrol,Manual,Third Owner,62568.0,Dealer,19.1,1197,5,395000.0,12,5214.0,239.4
Kia,Seltos,2019,Petrol,Manual,Second Owner,19970.0,Dealer,16.5,1497,5,1143000.0,7,2852.86,299.4
BMW,5 Series,2015,Diesel,Manual,Third Owner,73900.0,Dealer,15.6,1995,5,2300000.0,11,6718.18,399.0
Kia,Seltos,2020,Petrol,Manual,Second Owner,37991.0,Dealer,16.5,1497,5,1050000.0,6,6331.83,299.4
Hyundai,Creta,2018,Petrol,Automatic,Second Owner,58676.0,Dealer,16.8,1497,5,1275000.0,8,7334.5,299.4
Hyundai,Grand I10,2017,Petrol,Manual,Third Owner,35104.0,Dealer,18.9,1197,5,599000.0,9,3900.44,239.4
Kia,Seltos,2019,Petrol,Manual,Second Owner,51605.0,Dealer,16.5,1497,5,1620000.0,7,7372.14,299.4
Maruti,S-Presso,2020,Petrol,Manual,Second Owner,17472.0,Dealer,20.8,1197,5,420000.0,6,2912.0,239.4
Hyundai,Elite I20,2015,Diesel,Manual,Third Owner,80000.0,Dealer,19.0,1498,5,475000.0,11,7272.73,299.6
Mercedes-Benz,Glc,2021,Petrol,Automatic,Second Owner,16785.0,Dealer,13.8,1991,5,6600000.0,5,3357.0,398.2
Mercedes-Benz,E Class,2020,Petrol,Automatic,Second Owner,3999.0,Dealer,13.8,1991,5,6899000.0,6,666.5,398.2
Maruti,Wagon R,2017,Cng,Manual,Third Owner,66882.0,Dealer,21.5,998,5,441000.0,9,7431.33,199.6
Audi,A4,2018,Diesel,Automatic,Second Owner,71235.0,Dealer,17.4,1984,5,2950000.0,8,8904.38,396.8
Chevrolet,Cruze,2013,Diesel,Automatic,Fourth & Above Owner,56000.0,Dealer,19.0,1498,5,590000.0,13,4307.69,299.6
Hyundai,Grand I10,2016,Petrol,Manual,Third Owner,74938.0,Dealer,18.9,1197,5,414000.0,10,7493.8,239.4
Honda,City,2009,Petrol,Manual,Fourth & Above Owner,82000.0,Dealer,17.4,1497,5,285000.0,17,4823.53,299.4
Maruti,Wagon R,2021,Cng,Manual,Second Owner,57685.0,Dealer,21.5,998,5,675000.0,5,11537.0,199.6
Hyundai,Elite I20,2018,Petrol,Manual,Second Owner,48000.0,Dealer,18.3,1197,5,710000.0,8,6000.0,239.4
Mercedes-Benz,C Class,2013,Diesel,Automatic,Fourth & Above Owner,120000.0,Dealer,13.8,1991,5,1395000.0,13,9230.77,398.2
Hyundai,Eon,2015,Petrol,Manual,Third Owner,33146.0,Dealer,21.1,814,5,320000.0,11,3013.27,162.8
Maruti,Baleno,2019,Petrol,Manual,Second Owner,26603.0,Dealer,21.4,1197,5,629000.0,7,3800.43,239.4
Volkswagen,Vento,2016,Petrol,Automatic,Third Owner,53094.0,Dealer,17.2,1197,5,651000.0,10,5309.4,239.4
Hyundai,Grand I10,2017,Petrol,Manual,Third Owner,4098.0,Dealer,18.9,1197,5,475000.0,9,455.33,239.4
Maruti,Wagon R,2011,Petrol,Manual,Fourth & Above Owner,75379.0,Dealer,21.5,998,5,289000.0,15,5025.27,199.6
Hyundai,Venue,2019,Petrol,Manual,Second Owner,15763.0,Dealer,18.3,1197,5,897000.0,7,2251.86,239.4
Mercedes-Benz,C Class,2010,Petrol,Automatic,Fourth & Above Owner,119500.0,Dealer,13.8,1991,5,850000.0,16,7468.75,398.2
Maruti,Wagon R,2013,Petrol,Manual,Fourth & Above Owner,42697.0,Dealer,21.5,998,5,276000.0,13,3284.38,199.6
Hyundai,Elite I20,2018,Petrol,Manual,Second Owner,45000.0,Dealer,18.3,1197,5,690000.0,8,5625.0,239.4
Maruti,Vitara Brezza,2019,Diesel,Manual,Second Owner,55174.0,Dealer,17.0,1462,5,1044000.0,7,7882.0,292.4
Honda,City,2016,Petrol,Automatic,Third Owner,82953.0,Dealer,17.4,1497,5,735000.0,10,8295.3,299.4
Maruti,Wagon R,2016,Petrol,Automatic,Third Owner,85138.0,Dealer,21.5,998,5,390000.0,10,8513.8,199.6
Audi,Q5,2015,Diesel,Automatic,Third Owner,57000.0,Dealer,14.5,1984,5,2500000.0,11,5181.82,396.8
Audi,A6,2013,Diesel,Automatic,Fourth & Above Owner,52000.0,Dealer,14.5,1984,5,1125000.0,13,4000.0,396.8
Hyundai,Creta,2016,Petrol,Manual,Third Owner,27623.0,Dealer,16.8,1497,5,979000.0,10,2762.3,299.4
Hyundai,Xcent,2015,Petrol,Manual,Third Owner,73333.0,Dealer,19.1,1197,5,499000.0,11,6666.64,239.4
MG,Hector,2019,Diesel,Manual,Second Owner,45999.0,Dealer,19.0,1498,5,1659000.0,7,6571.29,299.6
Maruti,Baleno,2017,Petrol,Manual,Third Owner,61518.0,Dealer,21.4,1197,5,545000.0,9,6835.33,239.4
Maruti,S-Presso,2021,Petrol,Manual,Second Owner,65.0,Dealer,20.8,1197,5,476000.0,5,13.0,239.4
Maruti,Baleno,2017,Diesel,Manual,Third Owner,42400.0,Dealer,21.4,1498,5,739000.0,9,4711.11,299.6
Jeep,Compass,2017,Petrol,Automatic,Third Owner,45221.0,Dealer,14.9,1956,5,1395000.0,9,5024.56,391.2
Maruti,Ignis,2020,Petrol,Manual,Second Owner,11290.0,Dealer,20.9,1197,5,628000.0,6,1881.67,239.4
Hyundai,Grand I10,2016,Petrol,Manual,Third Owner,68446.0,Dealer,18.9,1197,5,409000.0,10,6844.6,239.4
Honda,City,2015,Petrol,Manual,Third Owner,51850.0,Dealer,17.4,1497,5,590000.0,11,4713.64,299.4
Toyota,Glanza,2020,Petrol,Automatic,Second Owner,10000.0,Dealer,14.5,1496,5,795000.0,6,1666.67,299.2
Audi,Q3,2012,Diesel,Automatic,Fourth & Above Owner,69500.0,Dealer,14.5,1984,5,1190000.0,14,4964.29,396.8
Maruti,Swift,2012,Petrol,Manual,Fourth & Above Owner,44681.0,Dealer,21.2,1197,5,445000.0,14,3191.5,239.4
Renault,Kwid,2016,Petrol,Manual,Third Owner,65428.0,Dealer,22.0,999,5,299000.0,10,6542.8,199.8
Hyundai,Verna,2013,Petrol,Manual,Fourth & Above Owner,84344.0,Dealer,17.7,1497,5,391000.0,13,6488.0,299.4
Maruti,Vitara Brezza,2018,Diesel,Manual,Second Owner,113600.0,Dealer,17.0,1462,5,890000.0,8,14200.0,292.4
Maruti,Wagon R,2020,Cng,Manual,Second Owner,17778.0,Dealer,21.5,998,5,599000.0,6,2963.0,199.6
Maruti,Baleno,2018,Petrol,Manual,Second Owner,33269.0,Dealer,21.4,1197,5,580000.0,8,4158.62,239.4
MG,Hector,2021,Petrol,Automatic,Second Owner,15222.0,Dealer,18.0,1200,5,1925000.0,5,3044.4,240.0
Honda,City,2017,Diesel,Manual,Third Owner,87139.0,Dealer,17.4,1497,5,925000.0,9,9682.11,299.4
Maruti,Swift,2013,Petrol,Manual,Fourth & Above Owner,69551.0,Dealer,21.2,1197,5,340000.0,13,5350.08,239.4
Hyundai,Verna,2013,Diesel,Manual,Fourth & Above Owner,72500.0,Dealer,17.7,1497,5,485000.0,13,5576.92,299.4
Maruti,Swift,2018,Petrol,Manual,Second Owner,28899.0,Dealer,21.2,1197,5,633000.0,8,3612.38,239.4
Maruti,Wagon R,2017,Petrol,Manual,Third Owner,13595.0,Dealer,21.5,998,5,396000.0,9,1510.56,199.6
Ford,Endeavour,2016,Diesel,Automatic,Third Owner,83000.0,Dealer,16.0,1497,5,2475000.0,10,8300.0,299.4
Hyundai,Elite I20,2019,Petrol,Manual,Second Owner,19418.0,Dealer,18.3,1197,5,775000.0,7,2774.0,239.4
Volvo,V40,2015,Diesel,Automatic,Third Owner,50965.0,Dealer,12.4,1969,5,1200000.0,11,4633.18,393.8
Hyundai,Xcent,2017,Diesel,Manual,Third Owner,21707.0,Dealer,19.1,1498,5,425000.0,9,2411.89,299.6
Mahindra,XUV500,2013,Diesel,Manual,Fourth & Above Owner,83555.0,Dealer,15.1,2179,7,740000.0,13,6427.31,311.29
Hyundai,Verna,2015,Petrol,Manual,Third Owner,37000.0,Dealer,17.7,1497,5,585000.0,11,3363.64,299.4
Hyundai,Grand I10,2014,Petrol,Manual,Third Owner,43000.0,Dealer,18.9,1197,5,385000.0,12,3583.33,239.4
Maruti,Baleno,2017,Petrol,Automatic,Third Owner,21769.0,Dealer,21.4,1197,5,690000.0,9,2418.78,239.4
BMW,5 Series,2018,Petrol,Manual,Second Owner,32000.0,Dealer,15.6,1995,5,4250000.0,8,4000.0,399.0
Maruti,Ciaz,2018,Petrol,Manual,Second Owner,14886.0,Dealer,20.7,1373,5,799000.0,8,1860.75,274.6
MG,Hector,2020,Petrol,Automatic,Second Owner,6602.0,Dealer,18.0,1200,5,1890000.0,6,1100.33,240.0
Maruti,Wagon R,2014,Cng,Manual,Third Owner,58000.0,Dealer,21.5,998,5,385000.0,12,4833.33,199.6
Maruti,Wagon R,2014,Cng,Manual,Third Owner,63339.0,Dealer,21.5,998,5,407000.0,12,5278.25,199.6
Maruti,Ciaz,2020,Petrol,Manual,Second Owner,4500.0,Dealer,20.7,1373,5,830000.0,6,750.0,274.6
Renault,Triber,2020,Petrol,Automatic,Second Owner,23600.0,Dealer,20.0,999,5,760000.0,6,3933.33,199.8
Hyundai,Venue,2019,Petrol,Manual,Second Owner,17844.0,Dealer,18.3,1197,5,955000.0,7,2549.14,239.4
Honda,City,2019,Petrol,Manual,Second Owner,21000.0,Dealer,17.4,1497,5,875000.0,7,3000.0,299.4
Tata,Indica,2017,Diesel,Manual,Third Owner,60000.0,Dealer,19.0,1498,5,250000.0,9,6666.67,299.6
Maruti,Celerio,2016,Petrol,Automatic,Third Owner,34530.0,Dealer,20.8,1197,5,450000.0,10,3453.0,239.4
Honda,CR-V,2014,Petrol,Automatic,Third Owner,117192.0,Dealer,17.8,1497,5,1400000.0,12,9766.0,299.4
Honda,Jazz,2016,Diesel,Manual,Third Owner,54000.0,Dealer,19.0,1498,5,595000.0,10,5400.0,299.6
Nissan,Terrano,2016,Petrol,Manual,Third Owner,38999.0,Dealer,18.0,1498,5,679000.0,10,3899.9,299.6
Volkswagen,Ameo,2017,Diesel,Automatic,Third Owner,58549.0,Dealer,19.0,1498,5,660000.0,9,6505.44,299.6
Hyundai,Elite I20,2019,Petrol,Manual,Second Owner,41055.0,Dealer,18.3,1197,5,687000.0,7,5865.0,239.4
Renault,Kwid,2018,Petrol,Manual,Second Owner,53728.0,Dealer,22.0,999,5,304000.0,8,6716.0,199.8
Hyundai,Grand I10,2017,Petrol,Manual,Third Owner,42141.0,Dealer,18.9,1197,5,529000.0,9,4682.33,239.4
Tata,Tiago,2018,Petrol,Manual,Second Owner,63130.0,Dealer,17.0,1199,5,416000.0,8,7891.25,239.8
Maruti,Alto K10,2016,Petrol,Manual,Third Owner,53912.0,Dealer,24.1,998,5,301000.0,10,5391.2,199.6
Tata,Nexon,2019,Diesel,Manual,Second Owner,20678.0,Dealer,19.0,1498,5,941000.0,7,2954.0,299.6
Tata,Safari,2022,Diesel,Manual,First Owner,4259.0,Dealer,14.1,1956,7,2375000.0,4,1064.75,279.43
Honda,Jazz,2016,Petrol,Manual,Third Owner,48866.0,Dealer,18.7,1199,5,490000.0,10,4886.6,239.8
Renault,Kwid,2018,Petrol,Manual,Second Owner,32954.0,Dealer,22.0,999,5,331000.0,8,4119.25,199.8
Maruti,Wagon R,2012,Petrol,Manual,Fourth & Above Owner,37000.0,Dealer,21.5,998,5,235000.0,14,2642.86,199.6
Mahindra,XUV500,2018,Diesel,Automatic,Second Owner,85000.0,Dealer,15.1,2179,7,1390000.0,8,10625.0,311.29
Audi,A3,2016,Diesel,Automatic,Third Owner,36627.0,Dealer,14.5,1984,5,2475000.0,10,3662.7,396.8
Volkswagen,Polo,2018,Petrol,Manual,Second Owner,62690.0,Dealer,17.2,1197,5,925000.0,8,7836.25,239.4
Toyota,Innova,2020,Diesel,Manual,Second Owner,12039.0,Dealer,12.99,2494,7,2150000.0,6,2006.5,356.29
Honda,City,2020,Petrol,Automatic,Second Owner,26230.0,Dealer,17.4,1497,5,1204000.0,6,4371.67,299.4
Hyundai,Santro,2020,Petrol,Automatic,Second Owner,19156.0,Dealer,18.3,1197,5,557000.0,6,3192.67,239.4
Hyundai,Grand I10,2020,Petrol,Manual,Second Owner,18350.0,Dealer,18.9,1197,5,579000.0,6,3058.33,239.4
Hyundai,Elite I20,2018,Petrol,Manual,Second Owner,44053.0,Dealer,18.3,1197,5,554000.0,8,5506.62,239.4
Hyundai,I10,2014,Petrol,Manual,Third Owner,69000.0,Dealer,19.8,1086,5,340000.0,12,5750.0,217.2
BMW,5 Series,2017,Diesel,Manual,Third Owner,40000.0,Dealer,15.6,1995,5,4300000.0,9,4444.44,399.0
Tata,Harrier,2020,Diesel,Manual,Second Owner,35438.0,Dealer,19.0,1498,5,1895000.0,6,5906.33,299.6
BMW,7 Series,2008,Petrol,Manual,Fourth & Above Owner,65000.0,Dealer,18.0,1200,5,1000000.0,18,3611.11,240.0
Maruti,Ciaz,2020,Petrol,Automatic,Second Owner,38500.0,Dealer,20.7,1373,5,885000.0,6,6416.67,274.6
Maruti,Wagon R,2018,Cng,Manual,Second Owner,20583.0,Dealer,21.5,998,5,484000.0,8,2572.88,199.6
Skoda,Rapid,2016,Diesel,Automatic,Third Owner,81325.0,Dealer,15.6,1498,5,715000.0,10,8132.5,299.6
Maruti,Baleno,2017,Petrol,Manual,Third Owner,35000.0,Dealer,21.4,1197,5,590000.0,9,3888.89,239.4
Maruti,Celerio,2015,Petrol,Automatic,Third Owner,25000.0,Dealer,20.8,1197,5,485000.0,11,2272.73,239.4
Honda,Jazz,2015,Petrol,Manual,Third Owner,37993.0,Dealer,18.7,1199,5,462000.0,11,3453.91,239.8
Hyundai,Creta,2018,Petrol,Manual,Second Owner,63194.0,Dealer,16.8,1497,5,1025000.0,8,7899.25,299.4
Hyundai,I10,2009,Petrol,Manual,Fourth & Above Owner,60000.0,Dealer,19.8,1086,5,180000.0,17,3529.41,217.2
Honda,City,2018,Petrol + 1,Automatic,Second Owner,70000.0,Dealer,17.4,1497,5,1200000.0,8,8750.0,299.4
Tata,Hexa,2018,Diesel + 1,Manual,Second Owner,51000.0,Dealer,19.0,1498,5,1600000.0,8,6375.0,299.6
Hyundai,Elite I20,2019,Petrol,Automatic,Second Owner,22024.0,Dealer,18.3,1197,5,830000.0,7,3146.29,239.4
Skoda,Octavia,2017,Diesel,Manual,Third Owner,35793.0,Dealer,15.6,1498,5,2095000.0,9,3977.0,299.6
Hyundai,Tucson,2017,Diesel,Automatic,Third Owner,75400.0,Dealer,19.0,1498,5,1925000.0,9,8377.78,299.6
Maruti,Swift,2016,Diesel,Manual,Third Owner,84996.0,Dealer,21.2,1498,5,475000.0,10,8499.6,299.6
Maruti,Swift,2015,Petrol,Manual,Third Owner,74767.0,Dealer,21.2,1197,5,460000.0,11,6797.0,239.4
Honda,Amaze,2013,Petrol,Manual,Fourth & Above Owner,63956.0,Dealer,18.6,1199,5,342000.0,13,4919.69,239.8
Maruti,Wagon R,2017,Cng,Manual,Third Owner,48000.0,Dealer,21.5,998,5,450000.0,9,5333.33,199.6
Renault,Duster,2014,Diesel,Manual,Third Owner,48330.0,Dealer,20.0,1498,5,685000.0,12,4027.5,299.6
Maruti,Alto 800,2014,Petrol,Manual,Third Owner,93150.0,Dealer,22.7,796,5,210000.0,12,7762.5,159.2
BMW,X3,2016,Diesel,Manual,Third Owner,69499.0,Dealer,19.0,1498,5,4100000.0,10,6949.9,299.6
Mahindra,TUV300,2016,Diesel,Automatic,Third Owner,75000.0,Dealer,15.1,2179,7,545000.0,10,7500.0,311.29
Kia,Carnival,2021,Diesel,Manual,Second Owner,13748.0,Dealer,16.5,1497,5,3499000.0,5,2749.6,299.4
Maruti,Ciaz,2019,Petrol,Automatic,Second Owner,30672.0,Dealer,20.7,1373,5,1075000.0,7,4381.71,274.6
Jeep,Compass,2019,Diesel,Manual,Second Owner,64683.0,Dealer,14.9,1956,5,1799000.0,7,9240.43,391.2
Maruti,Baleno,2019,Petrol,Manual,Second Owner,69886.0,Dealer,21.4,1197,5,711000.0,7,9983.71,239.4
Audi,Q5,2014,Diesel,Automatic,Third Owner,34000.0,Dealer,14.5,1984,5,2150000.0,12,2833.33,396.8
Hyundai,Creta,2019,Petrol,Manual,Second Owner,62137.0,Dealer,16.8,1497,5,1149000.0,7,8876.71,299.4
Maruti,Baleno,2016,Petrol,Manual,Third Owner,56800.0,Dealer,21.4,1197,5,524000.0,10,5680.0,239.4
Hyundai,Xcent,2015,Petrol,Manual,Third Owner,42382.0,Dealer,19.1,1197,5,475000.0,11,3852.91,239.4
Maruti,Wagon R,2018,Petrol,Manual,Second Owner,66794.0,Dealer,21.5,998,5,390000.0,8,8349.25,199.6
Honda,City,2020,Petrol,Automatic,Second Owner,19600.0,Dealer,17.4,1497,5,1150000.0,6,3266.67,299.4
Mercedes-Benz,S Class,2011,Diesel,Automatic,Fourth & Above Owner,85489.0,Dealer,13.8,1991,5,1900000.0,15,5699.27,398.2
Renault,Triber,2020,Petrol,Automatic,Second Owner,19784.0,Dealer,20.0,999,5,750000.0,6,3297.33,199.8
Honda,City,2020,Petrol,Automatic,Second Owner,19238.0,Dealer,17.4,1497,5,1285000.0,6,3206.33,299.4
Maruti,Swift,2013,Petrol,Manual,Fourth & Above Owner,78518.0,Dealer,21.2,1197,5,420000.0,13,6039.85,239.4
Hyundai,Creta,2017,Petrol,Manual,Third Owner,54104.0,Dealer,16.8,1497,5,855000.0,9,6011.56,299.4
Renault,Duster,2018,Diesel,Manual,Second Owner,55300.0,Dealer,20.0,1498,5,899000.0,8,6912.5,299.6
Renault,Kwid,2018,Petrol,Manual,Second Owner,40397.0,Dealer,22.0,999,5,348000.0,8,5049.62,199.8
Mahindra,XUV500,2015,Diesel,Manual,Third Owner,87527.0,Dealer,15.1,2179,7,811000.0,11,7957.0,311.29
Toyota,Glanza,2019,Petrol,Manual,Second Owner,63000.0,Dealer,14.5,1496,5,675000.0,7,9000.0,299.2
Maruti,Swift,2016,Diesel,Manual,Third Owner,83647.0,Dealer,21.2,1498,5,567000.0,10,8364.7,299.6
Isuzu,Mu,2018,Diesel,Manual,Second Owner,75592.0,Dealer,13.8,1898,5,2100000.0,8,9449.0,379.6
Renault,Duster,2012,Diesel,Manual,Fourth & Above Owner,57660.0,Dealer,20.0,1498,5,475000.0,14,4118.57,299.6
Honda,Amaze,2018,Petrol,Manual,Second Owner,42277.0,Dealer,18.6,1199,5,685000.0,8,5284.62,239.8
Maruti,S-Presso,2022,Petrol,Manual,First Owner,2600.0,Dealer,20.8,1197,5,525000.0,4,650.0,239.4
Volvo,Xc90,2014,Diesel,Automatic,Third Owner,51000.0,Dealer,12.4,1969,5,2257000.0,12,4250.0,393.8
Hyundai,Grand I10,2017,Petrol,Manual,Third Owner,19630.0,Dealer,18.9,1197,5,575000.0,9,2181.11,239.4
Honda,City,2016,Petrol,Manual,Third Owner,42218.0,Dealer,17.4,1497,5,745000.0,10,4221.8,299.4
Toyota,Glanza,2019,Petrol,Manual,Second Owner,69553.0,Dealer,14.5,1496,5,708000.0,7,9936.14,299.2
Maruti,Alto K10,2017,Petrol,Automatic,Third Owner,48448.0,Dealer,24.1,998,5,338000.0,9,5383.11,199.6
Tata,Tiago,2019,Petrol,Manual,Second Owner,60167.0,Dealer,17.0,1199,5,484000.0,7,8595.29,239.8
Honda,City,2012,Petrol,Manual,Fourth & Above Owner,61000.0,Dealer,17.4,1497,5,395000.0,14,4357.14,299.4
Hyundai,Grand I10,2015,Petrol,Manual,Third Owner,26282.0,Dealer,18.9,1197,5,434000.0,11,2389.27,239.4
Mercedes-Benz,E Class,2019,Diesel,Automatic,Second Owner,19070.0,Dealer,13.8,1991,5,6175000.0,7,2724.29,398.2
Audi,A4,2018,Diesel,Automatic,Second Owner,67262.0,Dealer,17.4,1984,5,3200000.0,8,8407.75,396.8
Maruti,Ciaz,2020,Petrol,Manual,Second Owner,5814.0,Dealer,20.7,1373,5,872000.0,6,969.0,274.6
Skoda,Rapid,2017,Diesel,Manual,Third Owner,76810.0,Dealer,15.6,1498,5,650000.0,9,8534.44,299.6
Honda,Amaze,2015,Diesel,Manual,Third Owner,63587.0,Dealer,19.0,1498,5,495000.0,11,5780.64,299.6
Kia,Seltos,2019,Petrol,Automatic,Second Owner,28000.0,Dealer,16.5,1497,5,1525000.0,7,4000.0,299.4
Honda,Amaze,2014,Diesel,Manual,Third Owner,42637.0,Dealer,19.0,1498,5,499000.0,12,3553.08,299.6
Maruti,Wagon R,2017,Petrol,Manual,Third Owner,52775.0,Dealer,21.5,998,5,432000.0,9,5863.89,199.6
Maruti,Ciaz,2019,Petrol,Automatic,Second Owner,21809.0,Dealer,20.7,1373,5,850000.0,7,3115.57,274.6
Volkswagen,Vento,2016,Petrol,Automatic,Third Owner,45689.0,Dealer,17.2,1197,5,725000.0,10,4568.9,239.4
